po_id,supplier_id,supplier_name,supplier_tier,category,po_date,promised_date,receipt_date,ordered_qty,received_qty,defect_qty,contract_unit_price,invoice_unit_price,contract_compliant,invoice_id
PO-0188,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-02-09,2025-02-23,2025-02-23,250,238,0,171.66,189.86,True,INV-0188
PO-0189,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-07-13,2025-07-29,2025-07-27,500,450,0,163.24,175.09,True,INV-0189
PO-0190,SUP-001,Northstar Components,Strategic,Mechanical,2025-05-18,2025-05-27,2025-05-28,300,300,0,170.95,183.72,True,INV-0190
PO-0191,SUP-004,Vertex Packaging,Preferred,Electronics,2025-02-03,2025-02-18,2025-02-16,250,225,0,238.19,259.41,True,INV-0191
PO-0192,SUP-001,Northstar Components,Strategic,Mechanical,2025-01-19,2025-01-26,2025-01-24,300,270,0,181.31,201.17,True,INV-0192
PO-0193,SUP-001,Northstar Components,Strategic,Packaging,2025-02-16,2025-03-07,2025-03-08,250,250,0,60.42,61.7,True,INV-0193
PO-0194,SUP-004,Vertex Packaging,Preferred,Electronics,2025-06-19,2025-07-04,2025-07-04,500,500,0,224.57,234.89,True,INV-0194
PO-0195,SUP-002,Meridian Industrial,Strategic,Electronics,2025-03-18,2025-04-01,2025-04-02,100,90,0,234.21,233.45,True,INV-0195
PO-0196,SUP-002,Meridian Industrial,Strategic,Electronics,2025-07-27,2025-08-13,2025-08-11,100,100,5,225.89,220.5,True,INV-0196
PO-0197,SUP-001,Northstar Components,Strategic,Mechanical,2025-01-12,2025-01-25,2025-01-24,500,500,0,153.12,171.33,True,INV-0197
PO-0198,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-06-03,2025-06-22,2025-06-22,300,300,0,52.82,51.92,True,INV-0198
PO-0199,SUP-003,Atlas Materials,Preferred,Packaging,2025-05-23,2025-06-08,2025-06-11,100,80,3,56.97,59.76,True,INV-0199
PO-0200,SUP-004,Vertex Packaging,Preferred,Packaging,2025-04-17,2025-04-30,2025-05-01,500,500,0,57.8,59.87,True,INV-0200
PO-0201,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-08-23,2025-08-30,2025-08-31,250,225,0,165.99,169.67,True,INV-0201
PO-0202,SUP-001,Northstar Components,Strategic,MRO,2025-01-24,2025-02-08,2025-02-07,200,200,0,81.06,86.55,True,INV-0202
PO-0203,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-02-23,2025-03-07,2025-03-05,250,250,0,179.43,199.87,True,INV-0203
PO-0204,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-06-04,2025-06-22,2025-06-21,500,450,0,159.11,159.95,True,INV-0204
PO-0205,SUP-003,Atlas Materials,Preferred,Packaging,2025-05-12,2025-05-26,2025-05-27,200,200,0,59.56,60.71,True,INV-0205
PO-0206,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-03-08,2025-03-23,2025-04-02,100,80,0,162.28,159.75,True,INV-0206
PO-0207,SUP-002,Meridian Industrial,Strategic,MRO,2025-06-17,2025-07-04,2025-07-05,300,240,0,87.41,90.77,True,INV-0207
PO-0208,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-05-20,2025-06-03,2025-06-01,500,450,0,149.62,163.9,True,INV-0208
PO-0209,SUP-001,Northstar Components,Strategic,MRO,2025-08-04,2025-08-21,2025-08-20,150,150,0,80.22,82.86,True,INV-0209
PO-0210,SUP-005,Cobalt Supply Co.,Approved,MRO,2025-05-05,2025-05-12,2025-05-13,500,500,0,76.78,82.58,True,INV-0210
PO-0211,SUP-005,Cobalt Supply Co.,Approved,MRO,2025-01-28,2025-02-05,2025-02-04,150,150,0,87.04,87.07,True,INV-0211
PO-0212,SUP-001,Northstar Components,Strategic,Packaging,2025-04-28,2025-05-14,2025-05-13,250,250,0,57.02,62.47,True,INV-0212
PO-0213,SUP-001,Northstar Components,Strategic,Electronics,2025-04-08,2025-04-21,2025-04-19,250,200,0,216.45,213.73,True,INV-0213
PO-0214,SUP-003,Atlas Materials,Preferred,Electronics,2025-08-24,2025-08-31,2025-09-01,300,300,0,218.23,212.1,True,INV-0214
PO-0215,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-08-26,2025-09-07,2025-09-06,150,135,0,222.92,243.27,True,INV-0215
PO-0216,SUP-003,Atlas Materials,Preferred,Mechanical,2025-03-03,2025-03-19,2025-03-20,300,240,0,178.09,180.42,True,INV-0216
PO-0217,SUP-006,Pioneer Logistics,Approved,Electronics,2025-07-10,2025-07-22,2025-07-23,300,300,0,256.26,259.97,True,INV-0217
PO-0218,SUP-004,Vertex Packaging,Preferred,Packaging,2025-06-12,2025-06-23,2025-06-24,100,95,0,52.01,54.53,True,INV-0218
PO-0219,SUP-005,Cobalt Supply Co.,Approved,MRO,2025-07-17,2025-08-02,2025-08-01,100,80,0,77.75,77.97,True,INV-0219
PO-0220,SUP-002,Meridian Industrial,Strategic,MRO,2025-04-03,2025-04-11,2025-04-11,200,190,0,82.62,82.88,True,INV-0220
PO-0221,SUP-004,Vertex Packaging,Preferred,MRO,2025-01-07,2025-01-15,2025-01-13,100,90,0,86.67,87.7,True,INV-0221
PO-0222,SUP-004,Vertex Packaging,Preferred,Electronics,2025-08-19,2025-09-03,2025-09-02,500,450,0,241.01,257.8,True,INV-0222
PO-0223,SUP-003,Atlas Materials,Preferred,MRO,2025-01-17,2025-01-26,2025-01-27,150,150,0,84.73,82.38,True,INV-0223
PO-0224,SUP-006,Pioneer Logistics,Approved,MRO,2025-06-07,2025-06-17,2025-06-16,300,300,0,76.62,78.41,True,INV-0224
PO-0225,SUP-003,Atlas Materials,Preferred,MRO,2025-04-21,2025-05-08,2025-05-11,200,200,0,81.95,91.09,True,INV-0225
PO-0226,SUP-004,Vertex Packaging,Preferred,Packaging,2025-07-08,2025-07-26,2025-07-25,200,200,0,53.64,58.5,True,INV-0226
PO-0227,SUP-005,Cobalt Supply Co.,Approved,Mechanical,2025-05-20,2025-05-29,2025-05-27,300,240,0,163.73,175.74,True,INV-0227
PO-0228,SUP-006,Pioneer Logistics,Approved,Electronics,2025-06-22,2025-07-06,2025-07-06,250,250,0,228.13,224.63,True,INV-0228
PO-0229,SUP-004,Vertex Packaging,Preferred,MRO,2025-04-13,2025-04-28,2025-04-29,300,270,0,77.13,86.0,True,INV-0229
PO-0230,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-07-16,2025-07-26,2025-07-26,100,100,0,247.06,238.93,True,INV-0230
PO-0231,SUP-004,Vertex Packaging,Preferred,Packaging,2025-01-28,2025-02-04,2025-02-03,250,225,0,57.72,60.56,True,INV-0231
PO-0232,SUP-003,Atlas Materials,Preferred,MRO,2025-07-17,2025-08-03,2025-08-02,250,250,0,93.46,96.94,True,INV-0232
PO-0233,SUP-001,Northstar Components,Strategic,Electronics,2025-02-06,2025-02-18,2025-02-19,500,500,0,241.01,244.8,True,INV-0233
PO-0234,SUP-004,Vertex Packaging,Preferred,Packaging,2025-03-18,2025-03-25,2025-03-23,100,100,0,58.84,62.59,True,INV-0234
PO-0235,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-02-14,2025-03-01,2025-03-02,300,285,0,156.15,160.02,True,INV-0235
PO-0236,SUP-004,Vertex Packaging,Preferred,MRO,2025-07-08,2025-07-24,2025-07-25,100,90,0,83.8,80.51,True,INV-0236
PO-0237,SUP-006,Pioneer Logistics,Approved,Electronics,2025-01-27,2025-02-15,2025-02-18,300,300,0,231.65,239.34,True,INV-0237
PO-0238,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-04-10,2025-04-26,2025-04-24,300,300,0,53.37,55.14,True,INV-0238
PO-0239,SUP-003,Atlas Materials,Preferred,Electronics,2025-02-04,2025-02-16,2025-02-16,500,500,0,224.79,240.74,True,INV-0239
PO-0240,SUP-002,Meridian Industrial,Strategic,MRO,2025-02-17,2025-03-03,2025-03-02,250,225,0,79.34,79.83,True,INV-0240
